,eng,jp
4951,chip. chip in the chair. you on the floor.,チップ 椅子に お前は床
4952,and we got it all wrong.,すべて間違っていました
4953,i use the jutte at my waist as punishment...,《小銭形:そんなヤツらには オレの腰の十手がうなる》
4954,don't leave me alone with this lunatic.,この変態と一人にさせないで!
4955,so are the rug and the paintings.,でも ベッドの装飾は エアオブジェクト。 じゅうたんも絵もね。
4956,no way...,まさか... キリハが...。
4957,answers of historical figures' names written in hiragana.,平仮名で解答しても正解と しています。
4958,"of what other people, usually men, will think of you.",どう思われたいかで服は選ぶもの」とか
4959,"yeah, that's particularly gorgeous it's the tv dinner of 2001.",2001年のTVディナーが見えますね その作品は特に素敵です
4960,what other people's pain feels like?,てめえにも 人の痛み 分からしてやろうか?
4961,an impressive if misguided effort.,ミスリードしなけりゃ 立派だったが
4962,dr. edison is going to have a very difficult time reassembling the remains.,エジソン博士は 遺骨を再構築するのが 大変でしょうね
4963,there are approximately 250 aircraft in the sky.,現在 飛行中の航空機は約250機です
4964,there is no need for two.,2人は いらぬ。
4965,we realized we could do something about it.,自分たちには何か できることがあるんだと知りました
4966,you got me back good,うまいこと返された
4967,"yeah, everything's messed up around here apparently.",何もかも混乱状態だ
4968,"come on! come on! oh, god.",しっかりして 何て事
4969,"i mean, just to tell me what i already know?",どうせ結果は同じだぞ
4970,she is still nowhere to be found.,彼女は ずっと 姿を消したままなのよ。
4971,any sign of them?,様子は?
4972,and we can't take care of all the troubles 24 hours a day.,24時間 付きっきりで 面倒 見る事も できない。
4973,and then all of a sudden a lightbulb goes off and he says,すると医者が突然ひらめいたように
4974,"oh, i got that coconut water you wanted.",望んでたココナッツ水を 手に入れたわ
4975,so how this actually works,これが実際 どう機能するかというと
4976,these headless bodies can live for about a day,頭がない状態でもおよそ1日は生きることができます。
4977,are you high?,飛び降りるぞ - ラリってる?
4978,what i am doing now,これ 任意の事情聴取って事で よろしゅうござんすよね?
4979,because they're watching you.,ずっと監視されていた
4980,"conan, you have some too!",コナン君 あれ!
4981,"well, i've never heard of her nor her russian parents.",彼女のロシアの両親の事は 聞いたことがないわ
4982,who is it?,着物はどうした 誰かに取られたのか
4983,i can't see anything in there. let me have it,よう見えへん。 貸して。
4984,flight distance for the warheads' electronic timer fuse...,弾頭の電子時限信管が作動する飛距離は 50メートルという所か
4985,both counsels,≪両代理人とも
4986,i had to pee. who were you talking to?,おしっこ 誰と話してたのよ?
4987,"and i think you're going to be able to see, use that infusion",これらが与えられることで、
4988,what about colombia?,コロンビアはどう?
4989,and your girl on fire is burnt out.,彼女は疲れ切っています
4990,are we done with the hugging and learning?,抱擁と お勉強は 終わった?
4991,"taking a break, maousan?",今のうちに休憩に入りな
4992,it wouldn't have stopped a breakin.,侵入を止められなかったかもしれない
4993,"look, i understand. you're a little rusty, but you're not seeing the upside here.",確かに感覚は 少し鈍ってるだろう
4994,henry never was a poet.,ヘンリーは詩人じゃない
4995,you punched a reporter.,レポーターを殴ったのね
4996,don't touch me!,私に触るな!
4997,if he does it'll be too late!,起こってからじゃ遅いわよ!
4998,is that true?,本当かどうか 怪しいもんだぜ...。
4999,"what was the name your brother had tattooed on his arm? oh, my god!",ベンの腕の入れ墨は 何という名前?
5000,"so there was no job, no food.",なので、仕事もなく、食べ物もありません。
5001,now today we treat high blood pressure mostly with pills.,高血圧の治療には現在錠剤が用いられています
5002,that's right.,もう いいか~い! もう いい~よ
5003,"oh, no, i get it now.",いや、今それを手に入れる
5004,her personality is just the finishing touch to her beautiful face.,性格込みで あの顔が 出来上がってるわけですし。
5005,earth? why go to such a place?,そんなやつに 修行などしてやるもんか。
5006,i want to give you a hug.,などというようなことを言えたはずですが、
5007,we now understand that the entities that attacked us are made of energy.,我々を攻撃したのは エネルギー体です
5008,she'll he along.,さあね。 どこかに行ってるんだろう。
5009,it had to be done.,あれで良かったんだ
5010,that thing was... building or something.,さっきのは何だ ビルのような...
5011,"be a good girl for me, will you?",おい あれ巨人だよ
5012,now my career may last a little longer!,これなら仕事として 少し長く続きそうです
5013,what?,一体...何が...
5014,he was immolated.,焼消されていました
5015,"is that, let's put aside the morality of all the right and wrong of it all",道徳的な善悪の判断をいったん脇に置き
5016,i was invisible.,見えなかっただけ
5017,you were not advanced to ranger...,昇格には不合格だった...
5018,people like her.,そのままの彼女
5019,what if he doesn't? he will.,戻らなかったら?
5020,i created a video which was based,ビデオを作りました
5021,that's what it's about. it's this expansion of room to make differences.,そういうことなのです 違いを作る余地を広げるということなのです
5022,i noticed the smell of summer.,是执行委员故意这么做的吧
5023,fierce fight at the ghost ship!,幽霊船であった。
5024,"we're waiting for your father, aren't we?",お父さん 待つに 決まってんでしょう。
5025,"why, if it isn't the shogun.",だが どうしてかな...。
5026,"but first we ought to be capturing bigger, cheaper savings",しかしまず 私達はこれまで 無視され 教科書にもなかった
5027,why did you not call for saber?,なぜセイバーを呼ばなかった
